41.7123 	EXP 	fixation: autoDraw = True
42.7154 	EXP 	fixation: autoDraw = False
42.7154 	EXP 	grating: autoDraw = True
43.0163 	EXP 	grating: autoDraw = False
43.3723 	EXP 	New trial (rep=10, index=0): None
43.3755 	DATA 	Keypress: up
43.3833 	EXP 	fixation: autoDraw = False
43.3833 	EXP 	grating: autoDraw = False
43.3833 	EXP 	grating: ori = 3.0
43.3833 	EXP 	fixation: autoDraw = True
44.3864 	EXP 	fixation: autoDraw = False
44.3864 	EXP 	grating: autoDraw = True
44.6868 	EXP 	grating: autoDraw = False
44.9747 	EXP 	New trial (rep=11, index=0): None
44.9773 	DATA 	Keypress: down
44.9877 	EXP 	fixation: autoDraw = False
44.9877 	EXP 	grating: autoDraw = False
44.9877 	EXP 	grating: ori = -4.0
44.9877 	EXP 	fixation: autoDraw = True
45.9741 	EXP 	grating: autoDraw = True
45.9907 	EXP 	fixation: autoDraw = False
46.2748 	EXP 	grating: autoDraw = False
46.5791 	EXP 	New trial (rep=12, index=0): None
46.5819 	DATA 	Keypress: down
46.5919 	EXP 	fixation: autoDraw = False
46.5919 	EXP 	grating: autoDraw = False
46.5919 	EXP 	grating: ori = -3.0
46.5919 	EXP 	fixation: autoDraw = True
47.5782 	EXP 	grating: autoDraw = True
47.5947 	EXP 	fixation: autoDraw = False
47.8791 	EXP 	grating: autoDraw = False
48.1369 	EXP 	New trial (rep=13, index=0): None
48.1401 	DATA 	Keypress: down
48.1460 	EXP 	fixation: autoDraw = False
48.1460 	EXP 	grating: autoDraw = False
48.1460 	EXP 	grating: ori = 0.0
48.1460 	EXP 	fixation: autoDraw = True
49.1489 	EXP 	fixation: autoDraw = False
49.1489 	EXP 	grating: autoDraw = True
49.4496 	EXP 	grating: autoDraw = False
49.8713 	EXP 	New trial (rep=14, index=0): None
49.8739 	DATA 	Keypress: down
49.8840 	EXP 	fixation: autoDraw = False
49.8840 	EXP 	grating: autoDraw = False
49.8840 	EXP 	grating: ori = 2.0
49.8840 	EXP 	fixation: autoDraw = True
50.8702 	EXP 	grating: autoDraw = True
50.8866 	EXP 	fixation: autoDraw = False
51.1713 	EXP 	grating: autoDraw = False
51.5453 	EXP 	New trial (rep=15, index=0): None
51.5488 	DATA 	Keypress: up
51.5552 	EXP 	fixation: autoDraw = False
51.5552 	EXP 	grating: autoDraw = False
51.5552 	EXP 	grating: ori = 0.0
51.5552 	EXP 	fixation: autoDraw = True
52.5583 	EXP 	fixation: autoDraw = False
52.5583 	EXP 	grating: autoDraw = True
52.8591 	EXP 	grating: autoDraw = False
53.3998 	EXP 	New trial (rep=16, index=0): None
53.4045 	DATA 	Keypress: up
53.4117 	EXP 	fixation: autoDraw = False
53.4117 	EXP 	grating: autoDraw = False
53.4117 	EXP 	grating: ori = -4.0
53.4117 	EXP 	fixation: autoDraw = True
